model,threshold,f1,f1_lo,f1_hi,precision,recall,mcc,fnr,pr_auc,roc_auc,train_s
LogReg,0.22999999999999998,0.8900421271139874,0.8862076886415385,0.8938863202491917,0.845787885820376,0.9391830949619895,0.6096976089194128,0.060816905038010564,0.9528629235504111,0.905032022728941,6.5
RF,0.5049999999999999,0.945214185839583,0.9416015874497582,0.9486776216756808,0.9326476859400477,0.9581239530988275,0.8185988738534258,0.04187604690117253,0.9893864036401853,0.9769378284393119,132.2
XGB,0.43499999999999994,0.9492472845074001,0.9459716421655001,0.9525146333360236,0.9361062390378351,0.9627625306017266,0.8318817791258651,0.037237469398273416,0.9898970691623216,0.9779187802436576,91.1
CatBoost,0.3499999999999999,0.9349948612538541,0.930892048875568,0.9385318602506685,0.9322402971692071,0.9377657518361036,0.7889192457128236,0.0622342481638964,0.9853065639397318,0.967595343178076,61.7
